symbol,name,exchange,assetType,ipoDate,delistingDate,status,marketCap,Volume,averageVolume10days,sector,Open,Close,OBV,OBV_Trend,OBV_Trend_Sum
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active,45318025216,906200.0,1502140.0,Healthcare,,154.63999938964844,,,
AA,Alcoa Corp,NYSE,Stock,2016-10-18,,Active,7636686336,7219500.0,5186430.0,Basic Materials,,42.529998779296875,,,
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active,29074500,8600.0,11850.0,Consumer Defensive,,0.9100000262260437,,,
AACI,Armada Acquisition Corp I,NASDAQ,Stock,2021-11-10,,Active,81249960,30600.0,32110.0,Financial Services,,11.399999618530273,,,
AACT,Ares Acquisition Corporation II - Class A,NYSE,Stock,2023-06-12,,Active,663750016,8500.0,20510.0,Financial Services,,10.619999885559082,,,
AADI,Aadi Bioscience Inc,NASDAQ,Stock,2017-08-08,,Active,45670812,89900.0,170760.0,Healthcare,,1.8600000143051147,,,
AAGR,African Agriculture Holdings Inc,NASDAQ,Stock,2023-12-07,,Active,19969832,92800.0,55550.0,Consumer Defensive,,0.3449999988079071,,,
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active,9526426624,26805700.0,24363820.0,Industrials,,14.520000457763672,,,
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active,33455672,8400.0,7160.0,Financial Services,,1.6399999856948853,,,
AAN,Aarons Company Inc (The),NYSE,Stock,2020-11-25,,Active,233672576,139400.0,199490.0,Industrials,,7.630000114440918,,,
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active,482457952,1944300.0,2689690.0,Technology,,12.399999618530273,,,
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active,6164053504,423900.0,1983030.0,Industrials,,74.9800033569336,,,
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active,4330630144,1442800.0,1068500.0,Consumer Cyclical,,72.6500015258789,,,
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active,2929426432000,44323200.0,55539510.0,Technology,,191.0399932861328,,,
AAT,American Assets Trust Inc,NYSE,Stock,2011-01-13,,Active,1707997440,295600.0,242680.0,Real Estate,,22.15999984741211,,,
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,,Active,3905211136,201600.0,240940.0,Financial Services,,33.90999984741211,,,
ABAT,Advanced Battery Technologies Inc,NASDAQ,Stock,2023-09-21,,Active,83209296,723800.0,429260.0,Basic Materials,,1.4199999570846558,,,
ABBV,Abbvie Inc,NYSE,Stock,2013-01-02,,Active,290591539200,3010300.0,4388460.0,Healthcare,,164.55999755859375,,,
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,,Active,3423575552,187100.0,204910.0,Financial Services,,49.540000915527344,,,
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,2020-12-11,,Active,1099762048,1032900.0,1275700.0,Healthcare,,3.740000009536743,,,
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,,Active,183277696,474000.0,703440.0,Healthcare,,4.449999809265137,,,
